Sector_score,LOCATION_ID,PARA_A,PARA_B,numbers,Money_Value,District_Loss,History,Score,Risk
3.41,38,1.35,33.25,5.5,20.62,2,0,4.2,1
3.41,4,4.13,16.74,5,44.02,2,0,4,1
3.41,31,12.62,80.06,5.5,43.53,4,0,4.6,1
3.41,31,16.36,41.1,5,12.03,4,0,4.2,1
3.41,16,12.68,41,5.5,11.88,2,0,4.4,1
3.41,16,11.73,85.87,5,6.96,2,1,4,1
3.41,22,5.15,44.67,5.5,21.07,2,0,4.4,1
3.41,7,6.61,55.62,5,57.16,2,0,4.2,1
3.41,8,8.03,94.43,5.5,10.65,2,2,4.8,1
3.41,8,1.21,34.03,5,5.36,2,0,3.6,1
3.41,19,1.64,46.21,5,2.45,2,0,3.4,1
3.41,19,1.21,43.84,5.5,31.61,2,0,4.2,1
3.41,29,1.1,87.71,5.5,34.32,2,0,4.2,1
3.41,29,4.17,24.37,5,4.24,2,0,3.6,1
3.41,20,1.08,32.71,5,8.38,2,0,3.6,1
3.41,29,12.29,25.74,5,22.1,2,0,4.2,1
3.41,32,12.54,31.62,5,54.07,2,0,4,1
3.41,9,17.26,44.22,5,27.68,2,1,4.2,1
3.41,30,1.15,20.1,6,21.45,2,0,4.6,1
3.41,15,20.04,48.9,5,11.09,2,0,4,1
3.41,15,12.17,47,6,10.14,2,0,4.8,1
3.41,40,10.37,105.56,9,52.13,2,0,4.8,1
3.41,41,9.67,62.25,5.5,17.02,2,0,4.4,1
3.41,42,3.77,40.86,5,18,2,0,4,1
3.41,22,4.73,60.22,5,69.76,2,0,4,1
3.41,11,6.31,19.42,5.5,13.88,2,0,4.4,1
3.41,13,5.61,1.56,5,4.03,2,0,2.4,1
3.41,37,5.22,20.94,5,2.44,2,0,3.6,1
3.41,19,0.31,58.12,5,78.98,2,0,3.8,1
3.41,15,2.86,17.09,5.5,6.88,2,0,4.2,1
3.41,14,16.53,72.99,5,5.49,2,1,4,1
3.41,22,2.7,45.16,5,37.79,2,0,4,1
3.41,8,3.08,60.78,5,0.36,2,0,3.6,1
3.41,32,2,49.19,5,60.88,2,1,4.2,1
3.41,2,1.18,0,5.5,183.2,2,0,3.2,1
3.41,39,1.07,0,5,10.02,2,0,2.6,1
3.41,12,1.07,0,5,0,6,0,2.6,1
3.41,13,1.01,0,5,0,2,0,2.2,0
3.41,5,0.93,0,5,0,2,0,2,0
3.41,4,4.01,0,5,0,2,0,2.4,0
3.41,32,0.77,0,5,0.32,2,0,2,0
3.41,16,1.05,0,5,0,2,0,2.2,0
3.41,15,1.01,0,5,0.28,2,0,2.2,0
3.41,19,0.91,0,5,0,2,0,2,0
3.41,8,1.12,0,5,0,2,0,2.2,0
3.41,9,0.8,0,5,0.18,2,0,2,0
3.41,22,0.65,0,5,0,2,0,2,0
3.41,29,0.63,0,5,0,2,0,2,0
3.41,6,0.43,0,5,0,2,0,2,0
3.41,11,1.21,0,5,0,2,0,2.2,0
3.41,31,0.17,0,5,0,2,0,2,0
3.41,18,0,0,5,0,4,0,2.2,0
3.41,14,0,0,5,0,2,0,2,0
3.41,36,0.07,0,5,0,2,0,2,0
2.72,18,5.11,53.76,6,48.56,2,2,5.2,1
2.72,39,2.46,6.72,5,0,2,0,3,1
2.72,39,4.05,21.66,5.5,18.45,2,0,4.4,1
2.72,39,2.81,4.6,5,8.44,2,0,2.6,1
2.72,25,4.43,61.47,5.5,39.65,2,0,4.4,1
2.72,39,3.48,17.85,5,9.53,2,0,3.8,1
2.72,8,3.62,44.28,5,44.67,2,0,4,1
2.72,8,4.34,24.13,5,3.42,2,0,3.6,1
2.72,12,3.62,8.37,5,0,2,0,3,1
2.72,11,3.11,113.97,5.5,26.64,2,0,4.4,1
2.72,9,1.65,20.86,5,16.91,2,0,3.8,1
2.72,12,3.43,1.53,5,0,2,0,2.4,0
2.72,9,3.84,98.67,5,12.9,2,0,4,1
2.72,12,7.42,115.87,6,6.79,2,1,4.8,1
2.72,12,7.07,35.48,5,8.76,2,0,3.8,1
2.72,2,3.26,5.55,5,0.21,6,0,3.4,1
2.72,13,3.84,144.39,5,19.68,2,1,4.4,1
2.72,13,5.5,93.26,5,14.27,2,0,4,1
2.72,5,1.9,35.04,6.5,16.19,2,0,4.6,1
2.72,5,3.5,16.09,5,5.03,2,0,3.8,1
2.72,5,1.46,0.75,5,0.11,2,0,2.2,0
2.72,38,4.6,54.99,5,14.1,2,0,4,1
2.72,5,7.43,79.5,5,102.39,2,0,4,1
2.72,11,3.51,52.89,5,4.26,2,0,3.6,1
2.72,4,5.65,67.16,6,27.23,2,0,4.8,1
2.72,4,1.33,0.35,5,0,2,0,2.2,0
2.72,31,5.45,71.09,5.5,59.18,2,0,4.4,1
2.72,4,1.73,5.64,5,13.35,2,0,3.2,1
2.72,16,6.02,135.69,6,89.64,4,0,5,1
2.72,22,3.22,55.64,5,80.8,2,0,4.2,1
2.72,16,2.41,5.28,5,8.95,4,0,3.4,1
2.72,16,2.84,64.91,5.5,124.59,4,0,4.6,1
2.72,16,1.75,0.57,5,0,4,0,2.4,1
2.72,16,2.18,30.81,5,5.8,4,0,4,1
2.72,16,3.26,2.81,6,21.6,4,0,3.8,1
2.72,40,4.43,51.32,5.5,145.97,2,0,4.4,1
2.72,8,5.61,99.33,6.5,76.47,2,0,4.8,1
2.72,19,3.9,27.92,5,47.6,2,0,4,1
2.72,19,2.19,0.68,5,28.4,2,0,2.8,1
2.72,19,1.56,14.64,5,25.97,2,0,3.2,1
2.72,14,4.53,87.93,5,85.81,2,0,4,1
2.72,20,4.97,42.19,5.5,45.37,2,0,4.4,1
2.72,19,2.13,0.59,5,0.76,2,0,2.4,0
2.72,19,3.66,15.47,5,1.43,2,0,3.6,1
2.72,19,1.64,0.19,5,1.59,2,0,2.2,0
2.72,29,4.9,98.71,5.5,82.99,2,1,4.6,1
2.72,32,5.68,67.38,5,86.7,2,1,4.2,1
2.72,9,3.99,92.05,5,15.14,2,1,4.2,1
2.72,30,3.47,47.07,5,31.38,2,0,4,1
2.72,15,2.68,38.32,5,7.17,2,0,3.8,1
2.72,15,2.13,42.64,5,18.24,2,0,4,1
2.72,2,4.28,1264.63,5.5,58.86,6,2,5.2,1
2.72,1,4.36,33.91,5.5,6.06,6,0,4.8,1
2.72,2,2.23,4.54,5,22.8,6,0,3.2,1
2.72,12,2,0.32,5,5.37,2,0,2.6,0
2.72,7,3.04,67.37,6.5,77.47,2,0,4.8,1
2.72,22,1.19,122.07,5,15.2,2,0,3.8,1
2.72,1,1.35,0,6,680.14,2,0,3.4,1
2.72,1,1.14,0,5,0.71,2,0,2.2,0
2.72,6,1.51,0,5,0,2,0,2.2,0
2.72,8,1.13,0,5,0,2,0,2.2,0
2.72,5,1.5,0,5,1.44,2,0,2.2,0
2.72,9,0.96,0,5,0,2,0,2,0
2.72,12,1.6,0,5,0,2,0,2.2,0
2.72,16,1.34,0,5,0,4,0,2.4,0
2.72,19,1.6,0,5,0.06,2,0,2.2,0
2.72,11,1.13,0,5,0.02,2,0,2.2,0
2.72,4,0,0,5,0,2,0,2,0
2.72,9,0,0,5,0,2,0,2,0
2.72,12,0.77,0,5,4.6,2,0,2,0
2.72,12,1.05,0,5,0,2,0,2.2,0
2.72,19,0,0,5,0,2,0,2,0
2.72,22,0,0,5,30.85,2,0,2.4,1
2.72,16,0,0,5,0,4,0,2.2,0
2.72,15,0,0,5,0,2,0,2,0
2.72,15,0,0,5,0,2,0,2,0
2.72,32,0.84,0,5,8.21,2,0,2.2,0
2.72,13,0,0,5,0,2,0,2,0
2.72,19,0.85,0,5,0,2,0,2,0
2.72,5,0,0.28,5,0,2,0,2,0
2.72,6,0.61,0.07,5,0,2,0,2,0
2.72,8,0,0.62,5,0,2,0,2,0
2.37,18,3.43,1,5.5,49.31,2,1,4.2,1
2.37,11,1.63,5.86,5,3.69,2,0,3.4,1
2.37,1,3.75,1.25,6,11.25,6,0,4.6,1
2.37,8,2.29,2.64,5,3.08,2,0,3.6,0
2.37,6,2.51,8.59,5.5,16.03,2,5,4.8,1
2.37,16,2.21,5.21,5,3.43,2,0,3.6,1
2.37,12,2.22,6.23,5,0.89,2,0,3.6,1
2.37,9,1.67,0.39,5,1.43,2,0,2.2,0
2.37,13,2.59,0.66,5,1.28,2,0,2.4,0
2.37,22,2.39,7.72,5,5.42,2,1,4,1
2.37,32,3.42,10.55,5,6.96,2,0,3.8,1
2.37,27,3.61,2.13,5,5.41,2,2,4.4,1
2.37,4,1.86,4.51,5,7.27,2,0,3.6,1
2.37,19,1.9,7.97,5,8.6,2,1,3.8,1
2.37,14,3.29,6.41,5,3.66,2,0,3.6,1
2.37,15,2.6,1.14,5,8.76,2,1,3.4,1
2.37,8,3.81,11.52,5,3.25,4,0,3.8,1
2.37,9,2.1,5.06,5,5.41,2,0,3.8,1
2.37,5,2.22,3.4,5,26.28,2,1,4.2,1
2.37,31,0.96,0.12,5,0.22,2,0,2,0
2.37,38,0.81,4.6,5,1.82,2,0,3.2,0
2.37,8,1.25,0.02,5,0.82,2,0,2.2,0
2.37,12,1.65,0.02,5,27.99,2,0,2.6,1
2.37,18,1.65,0.02,5,2.47,2,0,2.2,0
2.37,19,2.13,0.11,5,7.54,2,0,2.6,1
2.37,28,0.44,0.02,5,27.1,6,0,2.8,1
2.37,28,1.31,0.12,5.5,0,6,0,3,1
2.37,12,0.39,0.14,5,0.58,2,0,2,0
2.37,19,1,1.1,5,0,2,0,2.8,0
2.37,12,0.42,0.27,5,0,2,0,2,0
2.37,6,1.07,0.59,5,0,2,0,2.2,0
2.37,28,1.29,0.25,5,0,2,0,2.2,0
2.37,5,0.02,0.87,5,0.04,2,0,2,0
2.37,6,1.46,0.55,5,0.67,2,0,2.2,0
2.37,19,0.84,0.06,5,0.72,2,0,2,0
2.37,8,0.66,1.37,5,0.84,4,0,2.8,1
2.37,8,0.53,5.4,5,0.72,2,0,3.2,0
2.37,6,0.39,0.47,5,0,2,0,2,0
2.37,19,0.51,0.47,5,0,2,0,2,0
2.37,12,0.47,0.29,5,0.07,2,0,2,0
2.37,35,3.35,0.99,5,0.12,2,0,2.4,0
2.37,28,0.32,0.49,5,6.73,6,0,2.6,1
2.37,28,0.51,0,5,0,6,0,2.4,1
2.37,4,0,0,5,0.05,2,0,2,0
2.37,9,0.31,0.69,5,0,2,0,2,0
2.37,32,0.61,1.54,5,0.57,2,0,2.6,0
2.37,5,0.26,0.17,5,0,2,0,2,0
2.37,2,0.73,0.05,5,6.14,6,0,2.6,1
2.37,2,0,0,5,0,6,0,2.4,1
2.37,16,1.27,1.01,5,1.15,2,0,2.8,0
2.37,19,1.62,0.49,5,0,2,0,2.2,0
2.37,5,1.54,0.46,5,0.57,2,0,2.2,0
2.37,2,2.18,0.93,5,0,6,0,2.8,1
2.37,2,7.59,1.47,5.5,36.29,6,0,4.2,1
2.37,2,0.76,0.34,5,0,6,0,2.4,1
2.37,16,0.38,0.85,5,0.04,2,0,2,0
2.37,5,1.29,0.13,5,0,2,0,2.2,0
2.37,19,1.99,0.63,5,0,2,0,2.2,0
2.37,31,0,0,5,0,2,0,2,0
2.37,4,0.02,0.05,5,0,2,0,2,0
2.37,5,0.14,0.08,5,0,2,0,2,0
2.37,18,0.09,0,5,0,2,0,2,0
2.37,9,0,0,5,0,2,0,2,0
2.37,32,0,0,5,0,2,0,2,0
2.37,16,0.01,0.007,5,0,2,0,2,0
2.37,16,0.17,0.04,5,0,2,0,2,0
2.37,2,1.66,0.83,5,0.31,6,0,2.6,1
2.37,2,0.5,0.04,5,0,6,0,2.4,1
2.37,2,0.9,0.29,5,1.22,6,0,2.4,1
2.37,2,0,0,5,0.23,6,0,2.4,1
1.99,2,57.03,134.33,5,844.37,2,0,4,1
1.99,8,0.58,0,5,0,2,0,2,0
1.99,12,1.52,0,5,6.96,2,0,2.4,0
1.99,6,0.9,0,5,1.95,2,0,2,0
1.99,6,1.19,0,5,0,2,0,2.2,0
1.99,25,0.53,0,5,2.33,2,0,2,0
1.99,40,0.93,0,5,0.11,2,0,2,0
1.99,8,1.89,0,5,0,2,0,2.2,0
1.99,8,1.71,0,5,0.09,2,0,2.2,0
1.99,LOHARU,0.3,0,5,0,2,0,2,0
1.99,31,0.76,0,5,7.48,2,0,2.2,0
1.99,4,0.96,0,5,9.45,2,0,2.2,1
1.99,14,1.26,0,5,0,2,0,2.2,0
1.99,NUH,0.55,0,5,0.67,2,0,2,0
1.99,5,0.29,0,5,0.06,2,0,2,0
1.99,5,1.27,0,5,2.77,2,0,2.2,0
1.99,5,1.34,0,5,0,2,0,2.2,0
1.99,5,0.56,0,5,1.75,2,0,2,0
1.99,20,0.86,0,5,0,6,0,2.4,1
1.99,19,1.62,0,5,0,6,0,2.6,1
1.99,19,3.02,0,5,0,6,0,2.8,1
1.99,19,0.59,0,5,0,6,0,2.4,1
1.99,22,1.1,0,5,0,2,0,2.2,0
1.99,9,1.03,0,5,27.28,2,0,2.6,1
1.99,30,0.66,0,5,0.73,2,0,2,0
1.99,SAFIDON,0.48,0,5,0.47,2,0,2,0
1.99,11,1.27,0,5,175.9,2,0,2.6,1
1.99,12,0.43,0,5,13.54,2,0,2.4,1
1.99,12,1.65,0,5,0.01,2,0,2.2,0
1.99,8,1.4,0,5,0,2,0,2.2,0
1.99,8,1.14,0,5,41.82,2,0,2.6,1
1.99,8,0.45,0,5,0,2,0,2,0
1.99,27,0.6,0,5,0,2,0,2,0
1.99,29,0.85,0,5,0,2,0,2,0
1.99,9,1.19,0,5,29.76,2,0,2.6,1
1.99,32,1.23,0,5,0.11,2,0,2.2,0
1.99,32,1.12,0,5,0.05,2,0,2.2,0
1.99,16,1.53,0,5,0.03,4,0,2.4,0
1.99,16,0.77,0,5,0,4,0,2.2,0
1.99,16,0.56,0,5,0,4,0,2.2,0
1.99,16,1.82,0,5,85.13,4,0,2.8,1
1.99,16,0.44,0,5,0.04,4,0,2.2,0
1.99,15,1.46,0,5,0,2,0,2.2,0
1.99,15,1.12,0,5,10.98,2,0,2.6,1
1.99,13,1.56,0,5,0.1,2,0,2.2,0
1.99,13,0,0,5,0,2,0,2,0
1.99,18,0,0,5,0,2,0,2,0
1.85,2,11.24,9.49,5.5,173.02,2,0,4.4,1
1.85,6,3.7,0,5,0.12,2,0,2.4,0
1.85,6,8.53,0.16,5,0.52,2,0,2.6,1
1.85,6,0.47,1.59,5,1.24,2,0,2.6,0
1.85,8,0.95,1.33,5,0.07,4,0,2.8,1
1.85,8,13.15,1.63,5,1.19,4,0,3.2,1
1.85,8,3.17,0.44,5,0,4,0,2.6,1
1.85,8,7.02,1.77,5,0,4,0,3.2,1
1.85,16,0,0,5,0,2,0,2,0
1.85,8,0.95,0,5,0.13,4,0,2.4,1
1.85,8,0,0,5,10.53,4,0,2.6,1
1.85,16,9.19,4.2,5,0.52,2,0,3.6,1
1.85,19,9.14,1.22,5,0,6,0,3.4,1
1.85,6,0.26,0,5,0,2,0,2,0
1.85,31,3.05,0.05,5,0,2,0,2.4,0
1.85,4,0.56,72,5,0.51,2,0,3.2,1
1.85,4,2.96,0.15,5,0,2,0,2.4,0
1.85,31,2.48,0,5,0,2,0,2.4,0
1.85,14,9.94,0.44,5,0.15,2,0,2.4,1
1.85,14,5.13,0.09,5,0.01,2,0,2.4,0
1.85,43,2.49,0.29,5,0.49,2,0,2.4,0
1.85,5,7.22,0.28,5,0,2,0,2.4,1
1.85,5,0.71,0.66,5,0,2,0,2,0
1.85,19,19.21,2.47,5,0,6,0,4,1
1.85,19,0.18,0,5,0,6,0,2.6,1
1.85,19,5.9,0,5,0.74,6,0,3,1
1.85,19,4.04,0,5,0.79,6,0,2.8,1
1.85,19,2.81,0.11,5,19.45,6,0,3.2,1
1.85,19,5.87,0,5,0.44,6,0,2.8,1
1.85,19,1.75,0,5,0.35,6,0,2.6,1
1.85,19,2.05,0,5,3.53,6,0,2.8,1
1.85,19,0,0,5,0.04,6,0,2.6,1
1.85,16,3.67,0.18,5,0,2,0,2.4,0
1.85,9,0.64,0.95,5,0,2,1,2.2,0
1.85,9,7.37,1.64,5,0.08,2,0,3,1
1.85,9,10.79,0.67,5,0.04,2,0,2.4,1
1.85,11,10.02,0.95,5,0.43,2,0,2.4,1
1.85,11,0.44,0.62,5,0.64,2,0,2,0
1.85,12,2.89,0.11,5,0.04,2,0,2.4,0
1.85,12,0.6,1.14,5,0.43,2,0,2.6,0
1.85,8,0.79,1.01,5,0.57,2,0,2.6,0
1.85,8,3.26,0.36,5,0.02,2,0,2.4,0
1.85,8,8.94,1.32,5,0.02,2,0,3,1
1.85,27,4.6,1.17,5,0.04,2,0,3,0
1.85,29,7.01,1.12,5,0.1,2,0,3,1
1.85,29,1.04,0.91,5,0.37,2,0,2.2,0
1.85,9,2.81,0.41,5,0,2,0,2.4,0
1.85,9,0.7,0.6,5,0.51,2,0,2,0
1.85,32,0.78,0.97,5,0.97,2,0,2,0
1.85,32,7.09,1.95,5,0,2,0,3,1
1.85,32,1.39,1.1,5,0,2,0,2.8,0
1.85,8,2.46,0.37,5,0,2,0,2.4,0
1.85,4,2.48,0.1,5,0,2,0,2.4,0
1.85,15,1.28,1.75,5,0,2,0,2.8,0
1.85,15,3.83,0.28,5,0,2,0,2.4,0
1.85,15,3.74,0.55,5,0,2,0,2.4,0
1.85,15,11.44,1.41,5,0.04,2,0,3,1
1.85,13,4.99,0.64,5,0,2,0,2.4,0
1.85,13,8.25,1.59,5,0.02,2,0,3,1
1.85,13,0.25,1.8,5,0.74,2,0,2.6,0
1.85,18,7.2,0.43,5,0.01,2,0,2.4,1
1.85,18,0.73,1.24,5,0.2,2,0,2.6,0
1.85,43,5.2,0,5,0,2,0,2.4,0
1.85,19,1.16,0,5,0.11,6,0,2.6,1
1.85,19,0,0,5,0.19,6,0,2.4,1
1.85,6,0.65,0.03,5,0.14,2,0,2,0
1.85,6,0.79,0,5,3.54,2,0,2,0
1.85,19,3.28,0.25,5,0.04,6,0,2.8,1
1.85,19,0.9,0,5,0.13,6,0,2.4,1
1.85,9,5,0.54,5,0,2,0,2.4,0
1.85,9,7.07,0.72,5,0,2,0,2.4,1
1.85,14,1.08,1.98,5,3.92,2,0,2.8,0
1.85,13,3.46,0.09,5,0.06,2,0,2.4,0
1.85,22,0.6,1.08,5,0.33,2,0,2.6,0
1.85,22,3.92,1.08,5,0,2,0,3,0
1.85,22,7.84,2.81,5,0,2,0,3.8,1
1.85,8,0.99,0,5,0,4,0,2.2,0
1.85,2,0.17,0.11,5,0,2,0,2,0
1.85,19,45.23,36.18,5,0,6,0,4,1
1.85,11,1.69,0.21,5,0,2,0,2.2,0
1.85,43,0.18,0.63,5,0,2,0,2,0
1.85,31,0.01,0.91,5,0,2,0,2,0
1.85,16,0.88,1.5,5,0.19,2,0,2.6,0
1.85,2,1.17,0.15,5,0,2,0,2.2,0
1.85,8,0,0,5,0,4,0,2.2,0
1.85,16,0,0,5,0,2,0,2,0
1.85,8,0,0,5,0.2,4,0,2.2,0
1.85,6,0,0,5,0,2,0,2,0
1.85,19,0,0,5,0,6,0,2.4,1
1.85,19,0.99,0.11,5,0,6,0,2.4,1
1.85,8,0.21,0,5,0,2,0,2,0
1.85,14,2.2,0.28,5,0,2,0,2.4,0
1.85,2,3.31,0.17,5,0,2,0,2.4,0
1.85,4,2.43,0.27,5,0,2,0,2.4,0
1.85,12,13.91,0.5,5,0.19,2,0,2.4,1
2.36,1,1.71,0,6.5,88.4,6,4,4.4,1
2.37,1,1.13,3.85,6.5,20.89,6,0,5,1
2.37,2,17.53,0,6.5,94.75,6,4,4.4,1
2.37,4,0.56,0.7,5,0,6,0,2.4,1
2.37,8,0.56,0.08,5,0.05,6,0,2.4,1
2.34,2,3.95,0,5.5,83.96,6,1,3.8,1
2.34,4,0,0,5,0,2,0,2,0
2.34,5,0,0,5,0,2,0,2,0
2.34,2,0,0,5,0,2,0,2,0
2.34,19,0,0,5,0,2,0,2,0
15.56,2,20.65,0,6,397.31,6,1,4.2,1
15.56,1,3.73,2.82,6,160.41,6,0,5.2,1
